"";"code_ecole";"nom_ecole";"commune";"academie";"densite";"secteur";"rep";"classes";"eleves"
"8231";"0240940S";"ECOLE PRIMAIRE PRIVEE SAINT FRONT";"PERIGUEUX";"BORDEAUX";"Centres urbains intermédiaires";"PRIVE";0;6;152
"8371";"0250368P";"ECOLE PRIMAIRE LOUISE ET RENE ROBBE";"CHAUX-NEUVE";"BESANCON";"Rural à habitat dispersé";"PUBLIC";0;3;51
"8495";"0250876S";"ECOLE ELEMENTAIRE PUBLIQUE LEVIN MARCEL";"SELONCOURT";"BESANCON";"Ceintures urbaines";"PUBLIC";0;8;178
"8503";"0250899S";"ECOLE PRIMAIRE PUBLIQUE -";"TAILLECOURT";"BESANCON";"Ceintures urbaines";"PUBLIC";0;5;102
"8535";"0251101L";"ECOLE MATERNELLE PUBLIQUE -";"DAMPIERRE-LES-BOIS";"BESANCON";"Petites villes";"PUBLIC";0;3;61
"8549";"0251216L";"ECOLE PRIMAIRE PUBLIQUE GEORGES EDME";"AUDINCOURT";"BESANCON";"Grands centres urbains";"PUBLIC";1;12;182
"8628";"0251440E";"ECOLE MATERNELLE PUBLIQUE LES COQUELICOTS";"PAYS-DE-CLERVAL";"BESANCON";"Bourgs ruraux";"PUBLIC";0;3;61
"8718";"0251741G";"ECOLE PRIMAIRE PUBLIQUE LA COMBOTTE";"DASLE";"BESANCON";"Petites villes";"PUBLIC";0;5;108
"8732";"0251784D";"ECOLE PRIMAIRE PUBLIQUE INTERCOMMUNALE LONG.MONTBENOIT";"LA LONGEVILLE";"BESANCON";"Rural à habitat dispersé";"PUBLIC";0;9;219
"8822";"0260378V";"ECOLE ELEMENTAIRE PUBLIQUE -";"SAHUNE";"GRENOBLE";"Rural à habitat dispersé";"PUBLIC";0;1;18
"8834";"0260406A";"ECOLE PRIMAIRE PUBLIQUE -";"SAINT-JULIEN-EN-QUINT";"GRENOBLE";"Rural à habitat très dispersé";"PUBLIC";0;1;12
"8846";"0260433E";"ECOLE ELEMENTAIRE PUBLIQUE -";"SAINT-SAUVEUR-GOUVERNET";"GRENOBLE";"Rural à habitat très dispersé";"PUBLIC";0;1;17
"8850";"0260443R";"ECOLE PRIMAIRE PUBLIQUE GISELE HALIMI";"SAINT-VALLIER";"GRENOBLE";"Petites villes";"PUBLIC";0;8;160
"8864";"0260484K";"ECOLE ELEMENTAIRE PUBLIQUE SOPHIE CONDORCET";"VALENCE";"GRENOBLE";"Grands centres urbains";"PUBLIC";0;5;118
"8888";"0260569C";"ECOLE ELEMENTAIRE PUBLIQUE -";"LA BAUME-DE-TRANSIT";"GRENOBLE";"Bourgs ruraux";"PUBLIC";0;3;56
"8946";"0260673R";"ECOLE PRIMAIRE PUBLIQUE -";"LE GRAND-SERRE";"GRENOBLE";"Bourgs ruraux";"PUBLIC";0;4;95
"9099";"0261117Y";"ECOLE MATERNELLE PUBLIQUE PAUL ELUARD";"LIVRON-SUR-DROME";"GRENOBLE";"Petites villes";"PUBLIC";0;4;100
"9183";"0261373B";"ECOLE ELEMENTAIRE PUBLIQUE GEORGES BRASSENS";"CREST";"GRENOBLE";"Petites villes";"PUBLIC";0;4;94
"9215";"0270092D";"ECOLE MATERNELLE PUBLIQUE LES TOURTERELLES";"GAILLON";"NORMANDIE";"Centres urbains intermédiaires";"PUBLIC";0;4;76
"9220";"0270099L";"ECOLE ELEMENTAIRE PUBLIQUE PAUL BERT";"EVREUX";"NORMANDIE";"Centres urbains intermédiaires";"PUBLIC";0;5;123
"9225";"0270109X";"GROUPE SCOLAIRE JEAN MOULIN";"EVREUX";"NORMANDIE";"Centres urbains intermédiaires";"PUBLIC";0;11;244
"9235";"0270140F";"ECOLE PRIMAIRE PUBLIQUE -";"JOUY-SUR-EURE";"NORMANDIE";"Rural à habitat dispersé";"PUBLIC";0;3;73
