"";"code_ecole";"nom_ecole";"commune";"academie";"densite";"secteur";"rep";"classes";"eleves"
"24601";"0592436C";"ECOLE PRIMAIRE PUBLIQUE GUTENBERG";"VERLINGHEM";"LILLE";"Ceintures urbaines";"PUBLIC";0;6;141
"24672";"0592672J";"ECOLE ELEMENTAIRE PUBLIQUE PIERRE LOTI";"LAMBERSART";"LILLE";"Grands centres urbains";"PUBLIC";0;4;96
"24710";"0593258W";"ECOLE MATERNELLE PUBLIQUE MARTIN-MARTINE";"CAMBRAI";"LILLE";"Centres urbains intermédiaires";"PUBLIC";0;2;46
"24820";"0593724C";"ECOLE PRIMAIRE PRIVEE SAINT JOSEPH";"CYSOING";"LILLE";"Ceintures urbaines";"PRIVE";0;8;204
"24938";"0594023C";"ECOLE PRIMAIRE PRIVEE SACRE COEUR";"GRAVELINES";"LILLE";"Petites villes";"PRIVE";0;8;190
"24968";"0594081R";"ECOLE PRIMAIRE PRIVEE SAINT JOSEPH";"SAINGHIN-EN-MELANTOIS";"LILLE";"Ceintures urbaines";"PRIVE";0;8;216
"24971";"0594087X";"ECOLE PRIMAIRE PRIVEE NOTRE DAME DU PERPETUEL SECOURS-STE THERESE";"SANTES";"LILLE";"Ceintures urbaines";"PRIVE";0;9;255
"24984";"0594120H";"ECOLE PRIMAIRE PRIVEE NOTRE DAME";"VALENCIENNES";"LILLE";"Grands centres urbains";"PRIVE";0;17;469
"25114";"0594463F";"ECOLE ELEMENTAIRE PUBLIQUE DU CENTRE";"ANOR";"LILLE";"Rural à habitat dispersé";"PUBLIC";1;8;117
"25128";"0594480Z";"ECOLE PRIMAIRE PUBLIQUE LUCIE AUBRAC";"MOUVAUX";"LILLE";"Grands centres urbains";"PUBLIC";0;9;222
"25204";"0594703S";"ECOLE ELEMENTAIRE PUBLIQUE DERAIN - BETTIGNIES";"MARCQ-EN-BAROEUL";"LILLE";"Grands centres urbains";"PUBLIC";0;8;188
"25236";"0594851C";"ECOLE ELEMENTAIRE PUBLIQUE LANGEVIN";"DUNKERQUE";"LILLE";"Grands centres urbains";"PUBLIC";1;7;100
"25240";"0594903J";"ECOLE ELEMENTAIRE PUBLIQUE MARIUS ASSEZ";"ABSCON";"LILLE";"Ceintures urbaines";"PUBLIC";1;11;177
"25402";"0595373V";"ECOLE PRIMAIRE PUBLIQUE PAUL VERLAINE";"VILLENEUVE-D'ASCQ";"LILLE";"Grands centres urbains";"PUBLIC";0;11;242
"25418";"0595502K";"ECOLE ELEMENTAIRE PUBLIQUE CELESTIN FREINET";"GRANDE-SYNTHE";"LILLE";"Grands centres urbains";"PUBLIC";0;6;117
"25424";"0595511V";"ECOLE MATERNELLE PUBLIQUE LA BRIQUETERIE";"LILLE";"LILLE";"Grands centres urbains";"PUBLIC";1;4;57
"25434";"0595606Y";"ECOLE PRIMAIRE PUBLIQUE DECOSTER - THYL L'ESPIEGLE";"BAILLEUL";"LILLE";"Centres urbains intermédiaires";"PUBLIC";0;5;112
"25441";"0595670T";"ECOLE MATERNELLE PUBLIQUE SAINT EXUPERY";"PETITE-FORET";"LILLE";"Grands centres urbains";"PUBLIC";0;6;129
"25461";"0595925V";"ECOLE PRIMAIRE PUBLIQUE JULES FERRY";"AULNOY-LEZ-VALENCIENNES";"LILLE";"Grands centres urbains";"PUBLIC";0;13;317
"25467";"0595932C";"ECOLE PRIMAIRE PUBLIQUE LE PETIT PRINCE";"GENECH";"LILLE";"Bourgs ruraux";"PUBLIC";0;8;182
"25474";"0595943P";"ECOLE PRIMAIRE PUBLIQUE VOLTAIRE";"WATTRELOS";"LILLE";"Grands centres urbains";"PUBLIC";1;8;146
"25556";"0596464F";"ECOLE PRIMAIRE PUBLIQUE TILL L'ESPIEGLE";"CASSEL";"LILLE";"Rural à habitat dispersé";"PUBLIC";0;6;111
"25611";"0596633P";"ECOLE PRIMAIRE PUBLIQUE LES BEAUX MONTS";"SAINT-SAULVE";"LILLE";"Grands centres urbains";"PUBLIC";0;9;190
"25682";"0600144F";"ECOLE ELEMENTAIRE PUBLIQUE -";"LIERVILLE";"AMIENS";"Rural à habitat dispersé";"PUBLIC";0;2;53
"25728";"0600237G";"ECOLE ELEMENTAIRE PUBLIQUE -";"LACHAPELLE-AUX-POTS";"AMIENS";"#N/A";"PUBLIC";0;1;23
"25742";"0600263K";"ECOLE ELEMENTAIRE PUBLIQUE YVES DUTEIL";"SAINT-PIERRE-LES-BITRY";"AMIENS";"Rural à habitat dispersé";"PUBLIC";0;1;14
"25798";"0600378K";"ECOLE ELEMENTAIRE PUBLIQUE -";"DAMERAUCOURT";"AMIENS";"Rural à habitat dispersé";"PUBLIC";0;1;21
"25861";"0600476S";"ECOLE MATERNELLE PUBLIQUE ROYALLIEU";"COMPIEGNE";"AMIENS";"Centres urbains intermédiaires";"PUBLIC";1;5;65
"25880";"0600497P";"ECOLE MATERNELLE PUBLIQUE CONSTANT BOUDOUX";"VILLERS-SAINT-PAUL";"AMIENS";"Grands centres urbains";"PUBLIC";1;4;73
"25932";"0600577B";"ECOLE PRIMAIRE PUBLIQUE -";"MONCEAUX";"AMIENS";"Ceintures urbaines";"PUBLIC";0;5;117
"26015";"0600772N";"ECOLE PRIMAIRE LOUISE MICHEL";"SAINT-VAAST-LES-MELLO";"AMIENS";"Ceintures urbaines";"PUBLIC";0;4;85
"26052";"0600854C";"ECOLE ELEMENTAIRE PUBLIQUE -";"HARDIVILLERS";"AMIENS";"Rural à habitat dispersé";"PUBLIC";0;2;42
"26056";"0600862L";"ECOLE PRIMAIRE PUBLIQUE -";"PUITS-LA-VALLEE";"AMIENS";"Rural à habitat dispersé";"PUBLIC";0;1;17
"26100";"0600937T";"ECOLE ELEMENTAIRE PUBLIQUE -";"GOURNAY-SUR-ARONDE";"AMIENS";"Bourgs ruraux";"PUBLIC";0;2;46
"26133";"0601003P";"ECOLE ELEMENTAIRE PUBLIQUE -";"VERSIGNY";"AMIENS";"Rural à habitat dispersé";"PUBLIC";0;2;35
"26145";"0601024M";"ECOLE ELEMENTAIRE PUBLIQUE -";"MORLINCOURT";"AMIENS";"Rural à habitat dispersé";"PUBLIC";0;2;40
"26202";"0601116M";"ECOLE PRIMAIRE PUBLIQUE DE LA NONETTE";"AVILLY-SAINT-LEONARD";"AMIENS";"Ceintures urbaines";"PUBLIC";0;5;118
"26277";"0601430D";"ECOLE MATERNELLE PUBLIQUE GUYNEMER";"ESTREES-SAINT-DENIS";"AMIENS";"Bourgs ruraux";"PUBLIC";0;2;43
"26293";"0601468V";"ECOLE PRIMAIRE PRIVEE NOTRE DAME DE LA PROVIDENCE";"CLERMONT";"AMIENS";"Centres urbains intermédiaires";"PRIVE";0;17;429
"26305";"0601496A";"ECOLE PRIMAIRE ROSTAND - LHERMITE";"PONTPOINT";"AMIENS";"Ceintures urbaines";"PUBLIC";0;6;126
"26340";"0601638E";"ECOLE MATERNELLE PUBLIQUE ST EXUPERY";"LAMORLAYE";"AMIENS";"Ceintures urbaines";"PUBLIC";0;3;79
"26342";"0601640G";"ECOLE MATERNELLE PUBLIQUE GEORGES POMPIDOU 2";"COMPIEGNE";"AMIENS";"Centres urbains intermédiaires";"PUBLIC";1;4;60
"26346";"0601647P";"ECOLE MATERNELLE PUBLIQUE DE L'ARONDE";"CLAIROIX";"AMIENS";"Ceintures urbaines";"PUBLIC";0;3;60
"26364";"0601693P";"ECOLE PRIMAIRE PUBLIQUE HENRI DUBREUIL";"BERTHECOURT";"AMIENS";"Bourgs ruraux";"PUBLIC";0;7;161
"26371";"0601725Z";"ECOLE ELEMENTAIRE PUBLIQUE DU MOULIN";"TRACY-LE-VAL";"AMIENS";"Bourgs ruraux";"PUBLIC";0;2;41
"26377";"0601739P";"ECOLE ELEMENTAIRE PUBLIQUE GEORGES POMPIDOU GROUPE B";"COMPIEGNE";"AMIENS";"Centres urbains intermédiaires";"PUBLIC";1;9;127
"26452";"0602009H";"ECOLE PRIMAIRE PUBLIQUE -";"BAILLEUL-SUR-THERAIN";"AMIENS";"Bourgs ruraux";"PUBLIC";0;11;242
"26479";"0610078D";"ECOLE MATERNELLE PUBLIQUE ROLAND";"FLERS";"NORMANDIE";"Centres urbains intermédiaires";"PUBLIC";0;3;63
"26805";"0620540A";"ECOLE ELEMENTAIRE PUBLIQUE RPI 13";"BARASTRE";"LILLE";"Rural à habitat dispersé";"PUBLIC";0;1;23
"26930";"0620898P";"ECOLE MATERNELLE PUBLIQUE RPI DES DEUX MONTS (RPI 153)";"SAINT-MARTIN-CHOQUEL";"LILLE";"Rural à habitat dispersé";"PUBLIC";0;1;21
"26951";"0620972V";"ECOLE ELEMENTAIRE PUBLIQUE MARYSE BASTIE";"BARLIN";"LILLE";"Ceintures urbaines";"PUBLIC";0;3;54
"26974";"0621052G";"ECOLE PRIMAIRE CONDE";"CALAIS";"LILLE";"Grands centres urbains";"PUBLIC";1;13;168
"27052";"0621263L";"ECOLE ELEMENTAIRE PUBLIQUE GR SCOL FERRY-HUGO";"SAINT-ETIENNE-AU-MONT";"LILLE";"Ceintures urbaines";"PUBLIC";0;9;163
"27112";"0621517M";"ECOLE PRIMAIRE PUBLIQUE LE FRENELET";"LORGIES";"LILLE";"Rural à habitat dispersé";"PUBLIC";0;6;121
"27142";"0621611P";"ECOLE MATERNELLE PUBLIQUE RPI 44";"SEMPY";"LILLE";"Rural à habitat dispersé";"PUBLIC";0;2;41
"27153";"0621639V";"ECOLE PRIMAIRE PUBLIQUE ANTOINE DE ST EXUPERY";"LE TOUQUET-PARIS-PLAGE";"LILLE";"Ceintures urbaines";"PUBLIC";0;10;210
"27160";"0621662V";"ECOLE ELEMENTAIRE PUBLIQUE VICTOR HUGO";"MONTREUIL";"LILLE";"Bourgs ruraux";"PUBLIC";0;9;174
"27165";"0621674H";"ECOLE PRIMAIRE PUBLIQUE JEAN MOULIN";"WAILLY-BEAUCAMP";"LILLE";"Rural à habitat dispersé";"PUBLIC";0;5;120
"27232";"0621873Z";"ECOLE PRIMAIRE PUBLIQUE -";"SETQUES";"LILLE";"Ceintures urbaines";"PUBLIC";0;3;51
"27348";"0622446X";"ECOLE PRIMAIRE PUBLIQUE THOMAS PESQUET";"ARRAS";"LILLE";"Grands centres urbains";"PUBLIC";0;4;75
"27350";"0622448Z";"ECOLE ELEMENTAIRE PUBLIQUE HENRI WALLON";"AVION";"LILLE";"Grands centres urbains";"PUBLIC";1;7;97
"27387";"0622612C";"ECOLE PRIMAIRE PRIVEE SAINTE-FAMILLE";"BETHUNE";"LILLE";"Centres urbains intermédiaires";"PRIVE";0;15;401
"27462";"0622748A";"ECOLE PRIMAIRE PRIVEE SAINTE-FLORINE";"DOUVRIN";"LILLE";"Centres urbains intermédiaires";"PRIVE";0;8;202
"27620";"0623166E";"ECOLE MATERNELLE PUBLIQUE MARCEL CATHELAIN";"NOYELLES-GODAULT";"LILLE";"Centres urbains intermédiaires";"PUBLIC";0;5;99
"27650";"0623308J";"ECOLE ELEMENTAIRE PUBLIQUE SIMONE VEIL";"MERLIMONT";"LILLE";"Ceintures urbaines";"PUBLIC";0;6;125
"27700";"0623443F";"ECOLE PRIMAIRE PUBLIQUE JEAN JAURES";"LIBERCOURT";"LILLE";"Centres urbains intermédiaires";"PUBLIC";1;8;153
"27743";"0623524U";"ECOLE ELEMENTAIRE PUBLIQUE JULES FERRY";"DOURGES";"LILLE";"Ceintures urbaines";"PUBLIC";0;11;211
"27825";"0623868T";"ECOLE ELEMENTAIRE PUBLIQUE ANNE FRANK";"AUCHY-LES-MINES";"LILLE";"Ceintures urbaines";"PUBLIC";1;7;94
"27881";"0624113J";"ECOLE PRIMAIRE PUBLIQUE BUCAILLE-PELLETAN";"BOULOGNE-SUR-MER";"LILLE";"Grands centres urbains";"PUBLIC";1;15;234
"28044";"0630396N";"ECOLE PRIMAIRE PUBLIQUE -";"DORANGES";"CLERMONT-FERRAND";"Rural à habitat très dispersé";"PUBLIC";0;1;13
"28051";"0630414H";"ECOLE PRIMAIRE -";"ESCOUTOUX";"CLERMONT-FERRAND";"Rural à habitat dispersé";"PUBLIC";0;5;99
"28088";"0630510M";"ECOLE ELEMENTAIRE PUBLIQUE FERNAND TOURDIAS";"LES MARTRES-D'ARTIERE";"CLERMONT-FERRAND";"Bourgs ruraux";"PUBLIC";0;5;124
"28158";"0630775A";"ECOLE PRIMAIRE -";"SAINT-MAURICE";"CLERMONT-FERRAND";"Rural à habitat dispersé";"PUBLIC";0;4;91
"28159";"0630777C";"ECOLE ELEMENTAIRE PUBLIQUE -";"SAINT-NECTAIRE";"CLERMONT-FERRAND";"Rural à habitat dispersé";"PUBLIC";0;2;39
"28163";"0630794W";"ECOLE ELEMENTAIRE PUBLIQUE -";"SAINT-QUINTIN-SUR-SIOULE";"CLERMONT-FERRAND";"Rural à habitat très dispersé";"PUBLIC";0;1;23
"28171";"0630821A";"ECOLE PRIMAIRE -";"SAURIER";"CLERMONT-FERRAND";"Rural à habitat dispersé";"PUBLIC";0;2;21
"28192";"0630881R";"ECOLE ELEMENTAIRE PUBLIQUE -";"VERNINES";"CLERMONT-FERRAND";"Rural à habitat dispersé";"PUBLIC";0;2;40
"28246";"0631024W";"ECOLE ELEMENTAIRE PUBLIQUE BEAUDONNAT";"AUBIERE";"CLERMONT-FERRAND";"Grands centres urbains";"PUBLIC";0;8;198
"28301";"0631349Z";"ECOLE ELEMENTAIRE PRIVEE SAINT JOSEPH";"PONT-DU-CHATEAU";"CLERMONT-FERRAND";"Centres urbains intermédiaires";"PRIVE";0;12;313
"28329";"0631420B";"ECOLE ELEMENTAIRE PUBLIQUE -";"JUMEAUX";"CLERMONT-FERRAND";"Rural à habitat dispersé";"PUBLIC";0;2;38
"28350";"0631464Z";"ECOLE MATERNELLE PUBLIQUE VICTOR HUGO";"CLERMONT-FERRAND";"CLERMONT-FERRAND";"Grands centres urbains";"PUBLIC";0;6;144
"28435";"0631745E";"ECOLE PRIMAIRE PUBLIQUE -";"SAINT-AMANT-TALLENDE";"CLERMONT-FERRAND";"Bourgs ruraux";"PUBLIC";0;7;171
"28566";"0640487G";"ECOLE MATERNELLE PUBLIQUE -";"ARBOUET-SUSSAUTE";"BORDEAUX";"Rural à habitat dispersé";"PUBLIC";0;1;20
"28631";"0640647F";"ECOLE PRIMAIRE PUBLIQUE -";"MUSCULDY";"BORDEAUX";"Rural à habitat très dispersé";"PUBLIC";0;1;16
"28720";"0640902H";"ECOLE MATERNELLE PUBLIQUE DE LA VILLE";"HENDAYE";"BORDEAUX";"Grands centres urbains";"PUBLIC";0;3;53
"28833";"0641245F";"ECOLE PRIMAIRE PRIVEE JEANNE D ARC";"OLORON-SAINTE-MARIE";"BORDEAUX";"Petites villes";"PRIVE";0;8;195
"28844";"0641265C";"ECOLE PRIMAIRE PRIVEE SAINT-JOSEPH";"JURANCON";"BORDEAUX";"Grands centres urbains";"PRIVE";0;6;173
"28864";"0641297M";"ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC";"BOUCAU";"BORDEAUX";"Grands centres urbains";"PRIVE";0;4;101
"28913";"0641400Z";"ECOLE ELEMENTAIRE PUBLIQUE BOURG";"BARCUS";"BORDEAUX";"Rural à habitat très dispersé";"PUBLIC";0;2;35
"28934";"0641468Y";"ECOLE PRIMAIRE PUBLIQUE -";"GUICHE";"BORDEAUX";"Rural à habitat dispersé";"PUBLIC";0;4;91
"28998";"0641775G";"ECOLE PRIMAIRE PUBLIQUE -";"LEDEUIX";"BORDEAUX";"Rural à habitat dispersé";"PUBLIC";0;5;108
"29042";"0642024C";"ECOLE PRIMAIRE PUBLIQUE ECOLE DU HETRE BLANC";"HAGETAUBIN";"BORDEAUX";"Rural à habitat dispersé";"PUBLIC";0;4;88
"29058";"0642093C";"ECOLE PRIMAIRE PRIVEE BAIGURA IKASTOLA";"MENDIONDE";"BORDEAUX";"Rural à habitat dispersé";"PRIVE";0;4;55
"29072";"0650118A";"ECOLE ELEMENTAIRE PUBLIQUE -";"HIBARETTE";"TOULOUSE";"Rural à habitat dispersé";"PUBLIC";0;1;23
"29148";"0650500R";"ECOLE ELEMENTAIRE PUBLIQUE -";"MAUVEZIN";"TOULOUSE";"Rural à habitat dispersé";"PUBLIC";0;1;18
"29162";"0650574W";"ECOLE PRIMAIRE PUBLIQUE -";"ARAGNOUET";"TOULOUSE";"Rural à habitat très dispersé";"PUBLIC";0;2;22
"29218";"0650770J";"ECOLE PRIMAIRE PUBLIQUE LUCIE AUBRAC";"ORLEIX";"TOULOUSE";"Ceintures urbaines";"PUBLIC";0;8;165
"29228";"0650814G";"ECOLE ELEMENTAIRE PUBLIQUE -";"PEYRUN";"TOULOUSE";"Rural à habitat très dispersé";"PUBLIC";0;1;24
"29263";"0651019E";"ECOLE PRIMAIRE PRIVEE LA CALANDRETA DE BIGORRA";"LALOUBERE";"TOULOUSE";"Ceintures urbaines";"PRIVE";0;3;67
